Date : 2022-09-09 15:31:48
Directory : c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app
Total : 132 files,  22736 codes, 356 comments, 3537 blanks, all 26629 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         29 |     18,554 |        139 |      2,328 |     21,021 |
| TypeScript |         74 |      3,152 |        115 |        988 |      4,255 |
| HTML       |         29 |      1,030 |        102 |        221 |      1,353 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        132 |     22,736 |        356 |      3,537 |     26,629 |
| AdminArea                                                                                                                           |         56 |     16,159 |         42 |      1,961 |     18,162 |
| AdminArea\admin-area                                                                                                                |          4 |      7,542 |         10 |        837 |      8,389 |
| AdminArea\admin-nav                                                                                                                 |          4 |      7,624 |         11 |        858 |      8,493 |
| AdminArea\adminareaproducts                                                                                                         |          4 |         67 |         15 |         25 |        107 |
| AdminArea\adminareausers                                                                                                            |          4 |         62 |          0 |         17 |         79 |
| AdminArea\components                                                                                                                |         40 |        864 |          6 |        224 |      1,094 |
| AdminArea\components\add-image-popup                                                                                                |          6 |         90 |          0 |         29 |        119 |
| AdminArea\components\allimages                                                                                                      |          4 |         50 |          0 |         19 |         69 |
| AdminArea\components\insert-categories                                                                                              |          4 |         40 |          0 |         13 |         53 |
| AdminArea\components\insert-products                                                                                                |          4 |        148 |          1 |         43 |        192 |
| AdminArea\components\offers                                                                                                         |          4 |        104 |          1 |         18 |        123 |
| AdminArea\components\pop-up-login                                                                                                   |          4 |        152 |          4 |         18 |        174 |
| AdminArea\components\searchbar                                                                                                      |          4 |         79 |          0 |         22 |        101 |
| AdminArea\components\update-categories                                                                                              |          4 |         40 |          0 |         13 |         53 |
| AdminArea\components\upload-image                                                                                                   |          6 |        161 |          0 |         49 |        210 |
| cart                                                                                                                                |         10 |        686 |         35 |        192 |        913 |
| cart\cart-item                                                                                                                      |          4 |        197 |          0 |         47 |        244 |
| checkout-page                                                                                                                       |          4 |        329 |         14 |         71 |        414 |
| footer                                                                                                                              |          4 |        130 |          0 |         21 |        151 |
| homepage                                                                                                                            |          4 |      2,585 |         39 |        465 |      3,089 |
| log-in                                                                                                                              |          4 |        142 |         10 |         48 |        200 |
| my-orders                                                                                                                           |          4 |        111 |          0 |         22 |        133 |
| navbar                                                                                                                              |          4 |        168 |         37 |         72 |        277 |
| porducts                                                                                                                            |         17 |      1,513 |        161 |        444 |      2,118 |
| porducts\product-list                                                                                                               |          4 |        752 |         54 |        212 |      1,018 |
| porducts\product-page                                                                                                               |          3 |        390 |         98 |         99 |        587 |
| porducts\single-product                                                                                                             |          4 |        202 |          8 |         69 |        279 |
| profile                                                                                                                             |          4 |         47 |          0 |         15 |         62 |
| services                                                                                                                            |          7 |        268 |         16 |         77 |        361 |
| shared                                                                                                                              |          5 |         59 |          0 |         16 |         75 |
| shared\product-added-to-cart                                                                                                        |          5 |         59 |          0 |         16 |         75 |
| spinner                                                                                                                             |          4 |        110 |          1 |         13 |        124 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-area\admin-area.component.css                              | CSS        |      7,507 |         10 |        822 |      8,339 |
| c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-area\admin-area.component.html                             | HTML       |          3 |          0 |          2 |          5 |
| c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-area\admin-area.component.spec.ts                          | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-area\admin-area.component.ts                               | TypeScript |         14 |          0 |          7 |         21 |
| c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-nav\admin-nav.component.css                                | CSS        |      7,512 |         10 |        823 |      8,345 |
| c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-nav\admin-nav.component.html                               | HTML       |         45 |          1 |         14 |         60 |
