Date : 2022-10-24 16:59:53
Directory : c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src
Total : 326 files,  21619 codes, 2094 comments, 4484 blanks, all 28197 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        118 |      6,391 |        307 |      1,735 |      8,433 |
| CSS        |         45 |      5,592 |        246 |      1,239 |      7,077 |
| SCSS       |         40 |      5,061 |        118 |        996 |      6,175 |
| HTML       |         44 |      3,483 |      1,418 |        431 |      5,332 |
| XML        |         76 |        742 |          5 |         76 |        823 |
| JSON       |          3 |        350 |          0 |          7 |        357 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        326 |     21,619 |      2,094 |      4,484 |     28,197 |
| app                                                                                                                                 |        200 |     15,080 |      1,856 |      3,294 |     20,230 |
| app\AdminArea                                                                                                                       |         82 |      2,865 |        578 |        654 |      4,097 |
| app\AdminArea\admin-area                                                                                                            |          4 |        113 |          0 |         22 |        135 |
| app\AdminArea\admin-nav                                                                                                             |          4 |        273 |        127 |         62 |        462 |
| app\AdminArea\adminareaproducts                                                                                                     |          4 |         94 |         15 |         25 |        134 |
| app\AdminArea\adminareausers                                                                                                        |          4 |         62 |          0 |         17 |         79 |
| app\AdminArea\components                                                                                                            |         58 |      2,097 |        430 |        476 |      3,003 |
| app\AdminArea\components\add-image-popup                                                                                            |          6 |        142 |         23 |         43 |        208 |
| app\AdminArea\components\allimages                                                                                                  |          4 |         50 |          0 |         19 |         69 |
| app\AdminArea\components\insert-categories                                                                                          |          4 |         40 |          0 |         13 |         53 |
| app\AdminArea\components\insert-images                                                                                              |          4 |        287 |         69 |         52 |        408 |
| app\AdminArea\components\insert-pdf                                                                                                 |          4 |        268 |         76 |         49 |        393 |
| app\AdminArea\components\insert-products                                                                                            |          4 |        420 |        179 |         88 |        687 |
| app\AdminArea\components\offer-popup                                                                                                |          4 |        112 |         16 |         26 |        154 |
| app\AdminArea\components\pop-up-login                                                                                               |          4 |        232 |          4 |         30 |        266 |
| app\AdminArea\components\searchbar                                                                                                  |          4 |         81 |          0 |         23 |        104 |
| app\AdminArea\components\update-categories                                                                                          |          4 |         49 |          0 |         14 |         63 |
| app\AdminArea\components\update-colors                                                                                              |          4 |         48 |          8 |         15 |         71 |
| app\AdminArea\components\upload-image                                                                                               |          6 |        193 |         45 |         56 |        294 |
| app\AdminArea\components\upload-pdf                                                                                                 |          6 |        175 |         10 |         48 |        233 |
| app\AdminArea\image                                                                                                                 |          4 |        113 |          3 |         26 |        142 |
| app\AdminArea\pdf-component                                                                                                         |          4 |        113 |          3 |         26 |        142 |
| app\cart                                                                                                                            |         14 |      1,303 |        139 |        301 |      1,743 |
| app\cart\cart-item                                                                                                                  |          4 |        197 |          0 |         47 |        244 |
| app\cart\favorite                                                                                                                   |          4 |        203 |         48 |         37 |        288 |
| app\checkout-nav                                                                                                                    |          4 |        107 |          0 |         24 |        131 |
| app\checkout-page                                                                                                                   |          4 |        592 |        133 |        122 |        847 |
| app\footer                                                                                                                          |          4 |        697 |          0 |         35 |        732 |
| app\homepage                                                                                                                        |          4 |        885 |         66 |        233 |      1,184 |
| app\log-in                                                                                                                          |          4 |        216 |         57 |         65 |        338 |
| app\my-orders                                                                                                                       |          4 |        367 |          6 |         67 |        440 |
| app\navbar                                                                                                                          |          4 |        983 |        143 |        239 |      1,365 |
| app\order-completed                                                                                                                 |          4 |        178 |          0 |         31 |        209 |
| app\porducts                                                                                                                        |         28 |      4,990 |        587 |      1,084 |      6,661 |
| app\porducts\mosqui-wizzard                                                                                                         |          4 |        435 |        138 |         81 |        654 |
| app\porducts\product-list                                                                                                           |          5 |      2,276 |        172 |        476 |      2,924 |
| app\porducts\product-page                                                                                                           |          5 |      1,085 |         23 |        219 |      1,327 |
| app\porducts\products-carousel                                                                                                      |          4 |        150 |        126 |         30 |        306 |
| app\porducts\single-product                                                                                                         |          4 |        864 |        127 |        204 |      1,195 |
| app\profile                                                                                                                         |          4 |         47 |          0 |         15 |         62 |
| app\services                                                                                                                        |          8 |        292 |         16 |         87 |        395 |
| app\shared                                                                                                                          |         10 |        244 |         95 |         44 |        383 |
| app\shared\contatc-form                                                                                                             |          4 |        180 |         95 |         27 |        302 |
| app\shared\product-added-to-cart                                                                                                    |          5 |         59 |          0 |         16 |         75 |
| app\spinner                                                                                                                         |          4 |        110 |          1 |         13 |        124 |
